query,place_name,formatted_address,lat,lon,vibe_class,place_id,photo_reference,types,osm_image_path,dist_to_park,road_density,road_length,traffic_level,time_of_day,sentinel_jpg_path,sentinel_tiff_path,populartimes_peak_avg,avg_temperature
Silk Board Junction,Silk Board junction,"Silk Board junction, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",12.9165714,77.6233827,why_god_why,ChIJLTEfP_EUrjsRXcst3QPfD0k,AXQCQNQFIN9kn8doZ2_37_m7ikWTY2vZRUTYCzkgbsJiREBaNnjQHvuw0MF5Y_N3TVzkjcjZk7_EeCfSPzieaVaqDWVTBXtGRWonFPGir98ScN9SBtxwfIlGymHcBgtJH43_KIG0zDJm0ghorUCqrveIDW-K5FnLrf6lRauSr3OPs_Q4XXWhVUeQd3A7REhETqO8nl5cdhEw1OZDu7PN60yTQ4ZXyO4AtLyCZn9rCcsNVQhom-3_MndrwkuS2jYC-fehzFNMJCkhSKHqZipPagHyjrBuuberIJ4cKq8F5F6I_RVDv4px6FroPyCq0IqVz9asuBGU197aefMLgpazuOyN4R6mCswB4HEzFSvJGjcKsSujCCoeqCSfNH_Qs7hMMbJcz6qvWZVnfztYZ9WdlemBhnGWyrxBL1Q0Yyx_xY8Hf3NTYgawuY4wN_Ao0pwZ1hn8ZODIUfvJx_w0laSIROksvsJ6e-CygSqf_dUYE6VwGSQKpXtmduoRbRssjGqYcF5G2DhEIvhrNZ4CyBfRCCra84PPpiGzBeTcK6t8vxvYyMmlqpPG2EqiaBJm05GQdEQ05GiedjbHSNUM8Q,intersection,datasets/osm_images/why_god_why/why_god_why_0.jpg,320.8743568,130,6522.1,high,night,datasets/sentinel_tiles/why_god_why/why_god_why_0_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_0_sentinel.tif,32.2,28.19494709917294
KR Puram traffic,Krishnarajapuram,"Krishnarajapuram, Bengaluru, Karnataka, India",13.0169992,77.7044335,why_god_why,ChIJ5-P_yKsRrjsRv1OOyUaHNtg,AXQCQNTukrqJqT_565NAirYjcxeqL0_saoOP18wyrB5_nlTY-KDfJwiMKUDW8gs1brvJZGS7Fd1WERAk6uocqI8d-SmNIhyDgRiSjiZTXzZ_tDDRNSvg3nqNTBreIsaIst4mo-0G1NzOt0AJzxusWEE_I0kG0IxxqM6NEnvbIgQKLtymG413kWTZjMPucUeAG2MADspM5EtYMOaD9CRQ1XOpIdVfr9gN8mBjbiz28Z5BuAmSImdGnLgeGq9Hm6DxHtbP8uPZxrEXznJ1GtnprQzHVrrcuKf_lrckoklXvBqKIcC-hlAKmnIWeJ-tYfJRu5CUHe6AqOWqcAXh8ZwAC7IDc_AN7CvYl2dzxQIBnwYIVia2FDwsMYQdaKU1TSQRPHx8PVK4feKJy0bc9OZTroZ_0-5aVIwdrCXPn3k2_3Voh8QqmO8s3LCHqvidFBRxM2Gb0LmyBLndNiqdXaT_MYskZ6ilRgASbeBnwj-vYbla1OtgiksMN8eT0vO7CS11eqY3ofnZNxzLIpTLo64cqudOlDSRn0zHsl8esV29228TDYcV4Ioxw5IV6r6IVGLaQ1YSf6wtGSgG0c_2nQ,"sublocality_level_1, sublocality, political",datasets/osm_images/why_god_why/why_god_why_1.jpg,623.6914215,237,11860.8,high,morning,datasets/sentinel_tiles/why_god_why/why_god_why_1_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_1_sentinel.tif,58.6,28.19494709917294
Majestic bus stand,Majestic Bus Stand,"32/7, 7th Main, near Railway Station, Upparpete, Majestic, Bengaluru, Karnataka 560053, India",12.9729938,77.5706662,why_god_why,ChIJ581p5xEWrjsRYdCAvekZRok,AXQCQNQ0StXZYZXEGvSE-YPF-mgBNXt1ItQMJA-JwMU4VfnrUGq5brcmdF9lVXiN0KKtaYHpwSL_kttD_ID81XiJft5yqMYIPyd1JHMDbqVbpntNhoIdocWkmzb6VF5af9CD161ynmJBZLBa2Po0kwwfayyHPJ5hEolBJE8UuoXjRaakiS9cxTIxfcoKe6-8nsKMAPh3yDe9nT_3dvoES0R08oEjO5A6lSEAZEvu2BH-OulSHz1BCaXZe7t3uGZUTQZfPjb_7b6TkD-RERONHjQcjXVhIsVQ_aDU7lX82zeaApsdJbhn7Cyz172ePYoOwVuWwWGDUK-ti6P3_h9_lTdB2u4_b4jw_Wn2jXaTJaYT-mzOouITynX1_iubbooQ-WyYKHv5ZqVMeM6wKoO4n1k_4OfGiAs9zXuqMkJ25hJK3R92MoNsUTOlW2hltmijqCS00jZ9K5TFPpe3PUMlyJWLnG-z-nYN-Fj6anXIhla7lX_IOyd8BAef2-2rONLFbGVmsl6Azkhy2MG5HrY9R2IrSAM8aJXfxHZ00ldCVTmiq4UOeYSetDM7qdVUAO7A1pMmBdIFO2t4,"point_of_interest, establishment",datasets/osm_images/why_god_why/why_god_why_2.jpg,143.7570599,302,15110.6,high,evening,datasets/sentinel_tiles/why_god_why/why_god_why_2_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_2_sentinel.tif,70.4,28.19494709917294
Yeshwanthpur traffic,Yeswanthpur,"Yeswanthpur, Bengaluru, Karnataka, India",13.0250302,77.5340242,why_god_why,ChIJj0N-IWQ9rjsRxDxWEhcGs9E,AXQCQNRy34QAGP5RSq5gISV16Njv9hh2AZD2XiXsoRbhfWzk3Va9Wm6F8Ai3AO-dp9hij1sCf_B8eDcAmQ0cFCmwNZ8D_ZenUYGU2okL_NWxflgBfWqs2RpNFs9lKbF19hgBN7dJ8Ftdgm0PLnuMP6bmx7RRrY5q9tPcR0coIRqsdK6DhURccUwrAcNytK_vGScpn6gX9J0-psgRrPbkb5hTjok_2WnQ4GZOq4OG31AebLHSUxQmT6Mz98XXg-Lv1o1Wwj-ItAzvGoC6wp-uscgykez-gjYcBErw-1kVHjnFKXIvsNHvwNBJCEV1lJyJhky_HAwbAxEdxByZyhHeAMoIrfjqCQnImsmM1uUeB95WFmiArxr5V1aTXmDeW05iC8t7k2btKi2l_EEqjsAkRxI_09e33phrmdsg_lro7-cOfod-PIa3AQmBdyxin-Zgp8UEfx67klymW4KLh_Edv6bX_uaUrT3ihuorHtrZHCVKpQRIYGvyM7WS_yxZWHO0S_7jLJyFYPhA__Qizdx80njpSrUlG1zIO0ByfiDsDSfiFZM8tgfdr78s2hIwTGNPwq9epTRDEEai,"sublocality_level_1, sublocality, political",datasets/osm_images/why_god_why/why_god_why_3.jpg,390.072816,148,7402.7,high,afternoon,datasets/sentinel_tiles/why_god_why/why_god_why_3_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_3_sentinel.tif,50.1,28.19494709917294
Hebbal flyover,Hebbal Flyover,"Hebbal Flyover, Bengaluru, Karnataka 560024, India",13.0427325,77.5903388,why_god_why,ChIJVRHEE5QXrjsRWu3w9-cOi4c,AXQCQNQaFsUuywPDvhYyJganv5eZWWSvpwyvmnU627LuK422w0nQMuAzDSnG0k_350Qe22-c1rDpf0D_SRkOnWW2OWwi7fpKK6T5vrHwqit7cnkVeRaVRLY0V5OV5truxKwRPZn2K6046MIuz6hwFWWMlspeoRl0-G3g5UCfevx5nVXn0xWlEla4RX1yhtxGfVflobApndMDuvO2hg_Zj2E52IOgrGqDjh1hv04fBFX7SlKOjDzVVFD8Sb6V1CdV_FWxXtXEGUBdd3YPmpyyXE0NlJQHQBbBtlxDbEGuwPuZ9MoThj2VYhRhP_aw8_m3Fcp6WNUHIi3X1yNt2froIwdTB0dWl8aJlAYUH1LR1BjLy2K0hqeoK9tkZ2JCHACAMZ4qVei8avyz5AbNXCwd5t0mbvADfiIdbqyjk5mVAdBmf3tBZJU5_ePoA1X9pwpufG56Ne_BeUylxAAWsOFn_X4rzhhTbvveljmhk4bBYEqlOe0_6-GPTpSGSQlhXxBfAPsl7AkgB2_UiuEHbfnUE47_vzX1PBFYcAqTtOGWZEG2Zi7nyT5tsSQ6s9XmNUKGkbnABd-i2Nfj,route,datasets/osm_images/why_god_why/why_god_why_4.jpg,79.41713347,107,5362.3,high,evening,datasets/sentinel_tiles/why_god_why/why_god_why_4_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_4_sentinel.tif,74.8,28.19494709917294
Hosur Road congestion,Hosur Rd,"Hosur Rd, Karnataka, India",12.8526906,77.667143,why_god_why,ChIJ90OJSkkUrjsRdYbEdJgPjXY,AXQCQNRDOkO7csCsXhOWGHOxFSuO1hT37B_6UJit2wMhHbzc3hUv5Eu81F99w3RSF-dAdiHJmAGqrwzLBBNB5-XUfkWEOSxXzmgyZ_zJF1UwCcjoKb9O-SN9fQRwJsctU3BNbbpkEDdxhZCwQYDGwR-ahC9T749a6YleuPWOF3Bq7MpUn3sEmQTrDJUtTT4nFKppmQeq78k7wuVFQOuDmnKpbOnHheXdUklpO7LZ2X0bfKktfkl17Z0XhHB2yknQnLU3yivxKbsk1tY9c9jBGKUKK95qedQ9mjL3lDJOx0Ikgg0eHkLTSYsPTCz-8YvcoKlNaNxM9Cte3Cp26S8MHaMk9AXV5gt0SNydyeDhFGPj9MWYDdekVlBZiMA3ecexj_Kx0Ws_yM_ConqYtKPK1nK5Co2NGHCceDIOkO3vIhhPnGc8IkQuuJyzq55YoIPai6vaBqY6EnHKIo1hP-GlilFSFzvhL3AJ0srNWhYYqxkLN-HBJufp5yNRoB4gd7VurnXl9Ez1xqcdgTy2Gq6yF0Z7od-FP1E2SbxhhOi5UViwvqkWx_tmh6G7XyzyZcBjfz4-LFyj964O,route,datasets/osm_images/why_god_why/why_god_why_5.jpg,1708.363753,0,9.3,high,morning,datasets/sentinel_tiles/why_god_why/why_god_why_5_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_5_sentinel.tif,64.4,28.19494709917294
Tin Factory traffic,Tin Factory Metro,"XMW9+MC2, NH 44, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",12.9966024,77.6687231,why_god_why,ChIJr33-xF8RrjsRJZwakuezHAU,AXQCQNR-VMK-ybYwOadQzqvXRI4pUfj4Y74jMgyqIUSguuu9lFwBTZfMv3NCI-ytqgXScQLYqEnM1O7wFbG3seR7T04B26si0xeenW5_ZBAVr12_NRg78buYf03sznDKVjc30jisIK-ioUXJpea5d_gslwKvppL6-jXYCF4Hpd5ww5IPoqHbonlqGupZzFCrmlQxQvHKu3CEOwpQOuHo9uPjfSIuNU05Ech28uxtwENyXqJb9bvhZAsu86zeiNzldjrL2wDWnk1me8o_J5DGxTUkyOHdkfplmfvjgk65dfVxnjXsO7euMNFmQHAu1gxdgO0tOlRPcKRo8w8gF1jlRSNd-skXeIRXn2fPpKdMCOOJjVyp3hodf8MTyrFrfFatF2DaGE8-VKVrh5KQKvdeyvGS_fzs8RvqHsDo8WHICjXGtFFUP-zr62qUre-Aktpw8sjLonfBHzOAkuqt3L84xOKM2_97-JRqTxExSbV0I7JnUjOkQs290tczdIXf6Aw4KcOJ1aa1eK96LRuvkAQRFeCoHbnBl2LaPcgISgQadg_kuLKJfSN_igxe2TakBEJVrb0FC9WuIg,"point_of_interest, establishment",datasets/osm_images/why_god_why/why_god_why_6.jpg,582.8821196,265,13258.2,high,evening,datasets/sentinel_tiles/why_god_why/why_god_why_6_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_6_sentinel.tif,58.3,28.19494709917294
Richmond Circle signal,Richmond Road,"Richmond Rd, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025, India",12.96584,77.603725,why_god_why,ChIJ8UioxdUVrjsRyp40kIYoLgw,AXQCQNTp9ysImVXVDUxSQt5Hpj6gHNH81DDZY4pZ5oRrXYwoUXuIFiG0wIWtTqYzsQ4o22Df3RFM5qB3aSc0eMTm_zsje1dCzJ3KWoeRHW2uyzhkLJ1iVJ8Op-eXhfusSvzFRm9QEt_SCc_jNRRbqF12kN9NDczNoWUrEQU4qHK3LkyoWYYkO62800VuiPjytpFufY682H-erRT5tCpdpsXoVn9lRMwjDpqRz3E-1-1OzIWy1BILXqyPtMU_2v6eByw6isZV-BqObFfVb_F_B1UWasDS_8-OuzPqmhEopWENAXcBOImizwzgIPVFg1SsbvKUNvKalweBbQSCPXwE9Bm33ft78BnXkYFAKO3OCBSJmsFu348R_i4B-nZWDA7hA-xWxMcM9aJvU7AArSMp99uSB8ekXDJ4XMiuTDZDX5MpAcY11bxbmrIUCdEvpxlan6EHhebQFAN72NgYre6hBCPACzKKobJpyZBr-G_jTjA4Z8p0tn_27SMKvuGsYmqU3r-Y3ox1r4BmalwxA4FBUhEIvgQHgmsxJOM7SjPd1ZaKetuY8EDgaI-pILQ4YsbrCEouIveHbL-jNTbQRA,"transit_station, point_of_interest, establishment",datasets/osm_images/why_god_why/why_god_why_7.jpg,263.3565062,114,5701.8,high,afternoon,datasets/sentinel_tiles/why_god_why/why_god_why_7_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_7_sentinel.tif,45.0,28.19494709917294
Outer Ring Road Marathahalli,Outer Ring Rd,"Outer Ring Rd, Bengaluru, Karnataka, India",13.0278759,77.6323416,why_god_why,ChIJk05rKfwUrjsRJbJAmSbyxYE,AXQCQNTQdKOiuyePzGz-XLZaljqr7LIS9esKrIHmqYrtKRA1JYq2ulOgak74ajYEP2_M_HcGWehb_3vEbmvKL5zrTabOguLkPJeyxQhKQEy3xMy7ALgbkYJn-98PxzZa_bWPIcazdVmidTuP9YaN1ldNr1R8z-2ep8A6qHuBwUBmebPx5e5xxvzMFN7RZQ4YO1LkL3AVF_4IHQVLFJhEciq7Acrm3ipS92IQ822p8Fv1VtzDsX2C4MG7Z6c6VXAlKgIB_sDj3ZpvNK4U8flkxmQtw7FHO_nHT0Eu6Yx2YyZrKCoFHmGWwOYnDzhxsirZ2TDund0k0jEQF5D--2y_kDk46BP3CP_hlNSlRQrx8mJMrFvtY60YC4WTIo6J1p436dUK2Dspv3m6mPlWBjwjjirxDeyiwFihq1zrGJ10WtwOLMV_gTWols3J_zZAQ_v9jjLoW4W5WrSKdKbPZ2KdEPxNfORE4nxHM87-0LiLi0AKEDM60WRSoJydsfWk61agJ4yKzNDmyPRUO8r0uMO8CshUoDzzky72ykjt_Teb_G9Y_JQmyAtoSzK6uVPG5EU9OrkVTl6VxWvQ,route,datasets/osm_images/why_god_why/why_god_why_8.jpg,384.9278762,241,12048.4,high,morning,datasets/sentinel_tiles/why_god_why/why_god_why_8_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_8_sentinel.tif,70.8,28.19494709917294
Bannerghatta Road congestion,Bannerghatta Rd,"Bannerghatta Rd, Karnataka, India",12.7943684,77.6209533,why_god_why,ChIJJ6iKEcRqrjsR1EesTrgSBg0,AXQCQNR7w4fsxAT8rwWfFf4XqESI_TwIw2Zof9X5G4wmS06b_4fgxjCQnCiYo8MRwyosjYJ1W-71zgGQ4739sbUGCj5xA4Mms2QmQy5uwsQ7-ndA_CcA_VzIhqvMcn1CYHigqa5v_DXO3HL8_YtvVeDKO1qHhs85dS1th4hvQFFMmUOuqwYaEJU33njFEydqrZPLiVse_C4lLvsVCC6qYT-qxS6Huk6FO7wa_FSr0pYBnWUSjzYti78Yh5GXIWZ9A5izh3NMreWQQg9ccbo0JbqNoU-yFT4AViH1pWlDIWg4YAa8FLRw3G6dCSL--nXKsnnzmDLrOE0_jIz86umSQglrs0q4c3-6BbFF9mas9Lgt-6sEp44AOjecG-WhZo6_cvbAmslqdFwAoISeqAFr074w_-7emucHyjM_gh5-hazlAJZKTjIgpglRUbmhTuND5hObP3-scK8xVHNjiomFiH7JBPhl3cGvEkahOPEmVrhOXRJ1DdL3S8WT0ZP0mANLnu4Il4LrF4Jh_hk-LFLoIUH_SSlvCX1qqL4jXUW5cqOxffgqYB4UsJnXoEN5lgjfLNJkaLrQcg,route,datasets/osm_images/why_god_why/why_god_why_9.jpg,6620.296972,0,13.3,high,afternoon,datasets/sentinel_tiles/why_god_why/why_god_why_9_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_9_sentinel.tif,50.6,28.19494709917294
